Sample.ID,Start.Weight,Weight_g,Delta.Weight.FC,Fat.mass_g,Lean.mass_g,Pre.blood.value,Post.blood.value,Insulin_pre_ng.mL,GIP_pre_pg.mL,Glucagon_pre_ng.mL.,Leptin_pre_ng.mL,Resistin_pre_ng.mL,Insulin_post_ng.mL,GIP_post_pg.mL,Glucagon_post_ng.mL,Leptin_post_ng.mL,Resistin_post_ng.mL,Log10.Pre.blood.value,Log10.Post.blood.value,Log10.Insulin_pre_ng.mL,Log10.Insulin_post_ng.mL,Log10.GIP_pre_pg.mL,Log10.GIP_post_pg.mL,Log10.Glucagon_pre_ng.mL.,Log10.Glucagon_post_ng.mL,Sqrt.Leptin_pre_ng.mL,Sqrt.Leptin_post_ng.mL,Sqrt.Resistin_pre_ng.mL,Sqrt.Resistin_post_ng.mL,Glucose.FC,Insulin.FC,GIP.FC,Glucagon.FC,Leptin.FC,Resistin.FC,Log10.Glucose.FC,Log10.Insulin_FC,Log10.GIP_FC,Log10.Glucagon_FC,Log10.Leptin_FC,Log10.Resistin_FC
84NN,21,40.55,1.930952381,10.65,27.29,270,254,1.2334,105.69,0.16929,10.96649,41.81729,40.04253,148.17,0.16638,29.35543,56.3032,5.598421959,5.537334267,0.209774584,3.689942139,4.660510281,4.998360263,-1.776142058,-1.79348095,3.311569114,5.418065153,6.466628952,7.503545828,3.700315639,32.46516134,1.401930173,0.982810562,2.676830052,1.346409583,-0.026530048,3.480167556,0.337849982,-0.017338892,0.984633278,0.297441481
84RN,23,28.2,1.226086957,4.42,21.77,185,240,17.53348,75.59,0.21087,26.93273,56.99597,2.17426,64.87,0.21615,18.94888,38.50408,5.220355825,5.480638923,2.864112196,0.776688377,4.325323999,4.172385267,-1.556513449,-1.531782668,5.189675327,4.353031128,7.549567537,6.20516559,29.83543826,0.124006187,0.858182299,1.025039124,0.703563285,0.675557939,0.113039513,-2.087423819,-0.152938732,0.024730782,-0.351597449,-0.392216353
86NN,29,57.2,1.972413793,22.35,31.84,442,548,36.99028,102.81,0.10794,27.41869,25.37624,48.92333,128.02,0.16376,27.87587,24.86537,6.091309882,6.306275287,3.610655175,3.890254379,4.632882625,4.852186502,-2.226179762,-1.809353338,5.236285897,5.279760411,5.037483499,4.986518826,2.61674747,1.322599613,1.24520961,1.517139151,1.016674028,0.979868176,0.093358289,0.279599204,0.219303877,0.416826424,0.016536543,-0.020337231
86RN,29,52.8,1.820689655,17.45,32.22,250,275,3.57322,116.66,0.12695,25.92188,33.82041,3.33498,128.17,0.30574,27.89937,40.2344,5.521460918,5.616771098,1.27346715,1.204466682,4.759263721,4.853357508,-2.063961971,-1.185020211,5.091353455,5.281985422,5.81553179,6.343059199,38.43201458,0.933326244,1.098662781,2.408349744,1.076286519,1.189648499,0.041392685,-0.069000467,0.094093787,0.878941759,0.073516708,0.173657884
87NN,24,44.2,1.841666667,16.46,25.24,236,270,2.25873,201.23,0.55522,25.36676,31.02158,5.13133,256.27,0.11627,24.00487,26.67693,5.463831805,5.598421959,0.814802708,1.635364885,5.304448532,5.546231576,-0.588390847,-2.151840206,5.036542465,4.899476503,5.569701967,5.164971442,49.94221771,2.271776618,1.273517865,0.209412485,0.946312024,0.859947495,0.058451761,0.820562176,0.241783044,-1.56344936,-0.055182929,-0.150883944
88NN,30,51.6,1.72,20.19,28.73,247,254,3.43025,65.45,0.17501,20.6933,31.64805,3.35477,134.5,0.09784,19.57281,26.8091,5.509388337,5.537334267,1.232633145,1.210383214,4.181286492,4.901564199,-1.742912164,-2.324421788,4.548988899,4.424116861,5.625659961,5.177750477,40.09216727,0.977995773,2.05500382,0.559053768,0.945852522,0.847101164,0.012136763,-0.022249931,0.720277707,-0.581509624,-0.055668618,-0.165935153
88RN,30,60,2,19.95,36.3,214,236,55.65031,384.08,0.55369,40.56185,22.46592,26.01898,216.3,0.12657,41.03714,21.68647,5.365976015,5.463831805,4.019087648,3.258826272,5.950850864,5.376666333,-0.591150316,-2.066959764,6.368818572,6.406023728,4.739822781,4.656873415,8.313162161,0.467544206,0.563163924,0.228593617,1.011717661,0.965305227,0.04249823,-0.760261376,-0.574184532,-1.47580945,0.011649541,-0.03531093
89NN,26,49.98,1.922307692,9.48,36.97,253,212,6.1551,164.77,0.11789,28.58891,44.68123,8.78855,352.55,0.20749,25.69436,32.5018,5.533389489,5.356586275,1.817281006,2.173449738,5.104550562,5.865192456,-2.138003293,-1.572672133,5.346859826,5.068960446,6.684401993,5.701034994,40.11469469,1.427848451,2.139649208,1.760030537,0.898752698,0.727415069,-0.07678466,0.356168732,0.760641894,0.565331159,-0.106747368,-0.31825803
89RN,26,44.09,1.695769231,11.84,29.58,276,256,11.35607,210.2,0.15132,25.83863,37.4616,25.25102,308.98,0.24196,28.43136,36.22251,5.620400866,5.545177444,2.429752403,3.228866551,5.348059458,5.73327655,-1.888358479,-1.418982856,5.083171254,5.332106526,6.120588207,6.018513936,12.23633738,2.223570302,1.469933397,1.598995506,1.100343168,0.96692373,-0.032669117,0.799114148,0.385217092,0.469375623,0.095622102,-0.033635659
90NN,29,43.46,1.49862069,15.65,25.33,320,360,18.53484,225.96,0.57396,28.68653,49.68116,19.96914,219.35,0.47718,27.72178,45.99781,5.768320996,5.886104031,2.919652204,2.994188082,5.420357992,5.390668628,-0.555195572,-0.739861501,5.355980769,5.265147671,7.048486362,6.782168532,10.984449,1.077383997,0.970747035,0.831381978,0.966369233,0.925860225,0.051152522,0.074535878,-0.029689365,-0.184665929,-0.034209289,-0.077032001
90RN,26,44.44,1.709230769,12.42,28.77,309,236,24.54319,114.25,0.09217,18.97731,12.24201,27.87423,147.95,0.10703,21.01856,9.37859,5.733341277,5.463831805,3.200434423,3.327702606,4.73838903,4.996874379,-2.384120581,-2.23464611,4.356295445,4.58460031,3.498858385,3.062448367,5.307769937,1.135721559,1.294967177,1.161223826,1.107562663,0.766098868,-0.117046476,0.127268184,0.258485349,0.149474471,0.102161802,-0.266444047
91NN,24,50.03,2.084583333,21.67,26.05,227,257,10.12779,168.16,0.15171,19.54737,77.83574,6.31172,205.72,0.07195,17.70536,41.04255,5.424950017,5.549076085,2.315283131,1.842408223,5.124915907,5.326516021,-1.885784475,-2.631783846,4.421240776,4.207773758,8.822456574,6.406445973,32.59333431,0.623208025,1.223358706,0.474260102,0.905766863,0.527296972,0.053907266,-0.472874907,0.201600114,-0.745999369,-0.098973332,-0.639991375
92NN,28,53.4,1.907142857,15.63,34.29,257,231,6.28399,101.09,0.19585,6.84272,25.40838,5.00412,118.65,0.07452,9.08787,27.77647,5.549076085,5.442417711,1.838005129,1.610261573,4.616011209,4.776177983,-1.630406219,-2.596687733,2.615859323,3.014609427,5.040672574,5.270338699,23.71046258,0.796328447,1.173706598,0.380495277,1.328107828,1.093201141,-0.046321143,-0.227743556,0.160166774,-0.966281514,0.283755244,0.089110219
92RN,29,58.15,2.005172414,23.49,31.36,242,222,11.82479,156.46,0.01441,21.21483,35.80285,5.35763,141.34,0.03945,18.64945,16.17281,5.488937726,5.402677382,2.470198175,1.678521713,5.052800386,4.951168335,-4.239832869,-3.232721232,4.605955927,4.318500897,5.983548278,4.021543236,26.38106775,0.453084579,0.903361882,2.737682165,0.879076099,0.451718508,-0.037462392,-0.791676462,-0.101632051,1.007111637,-0.128883811,-0.794696063
93NN,28,48.3,1.725,14.37,31.65,200,288,5.38022,140.16,0.11248,12.97329,41.93688,3.41144,87.02,0.1161,12.3065,17.4603,5.298317367,5.66296048,1.682729266,1.22713449,4.942784627,4.466137977,-2.184979851,-2.15330339,3.60184536,3.508062143,6.475869054,4.178552381,25.50828975,0.634070726,0.620861872,1.032183499,0.94860286,0.416347139,0.158362492,-0.455594776,-0.47664665,0.03167646,-0.052765051,-0.876235898
93RN,30,53.87,1.795666667,18.01,32.73,198,319,1.7882,222.93,0.21259,16.70888,38.78536,1.93615,119.82,0.16053,11.01519,30.27937,5.288267031,5.765191103,0.581209527,0.660701465,5.406857821,4.785990617,-1.548389851,-1.829274438,4.087649691,3.318913979,6.227789335,5.502669352,61.885701,1.08273683,0.537478132,0.755115481,0.659241673,0.780690704,0.207125493,0.079491938,-0.620867204,-0.280884586,-0.416665085,-0.247576233
94NN,34,63.9,1.879411765,21.81,38.22,436,378,9.74744,162.5,0.12795,10.51711,12.1228,5.64125,135.04,0.08315,10.49099,10.09675,6.077642243,5.934894196,2.277004686,1.730105672,5.090678002,4.905571031,-2.056115716,-2.487109073,3.243009405,3.238979778,3.481781153,3.177538355,23.93795701,0.5787417,0.831015385,0.649863228,0.997516428,0.832872769,-0.061994689,-0.546899015,-0.18510697,-0.430993357,-0.002486661,-0.182874387
94RN,26,45.6,1.753846154,15.13,28.62,311,400,3.08756,202.11,0.05504,3.87164,33.77769,3.22955,173.73,0.03816,2.41806,28.36426,5.739792912,5.991464547,1.127381135,1.172342809,5.308812104,5.15750237,-2.899695085,-3.265967432,1.967648343,1.555011254,5.811857706,5.325810736,53.79387221,1.04598777,0.859581416,0.693313953,0.624557035,0.839733564,0.109299602,0.044961673,-0.151309734,-0.366272348,-0.470712625,-0.174670623
95NN,23,34.7,1.508695652,5.97,26.49,246,412,1.74576,83.35,0.11,4.28514,19.52761,2.09495,109.47,0.13025,2.27139,21.22699,5.505331536,6.021023349,0.557189991,0.739529687,4.423048609,4.695650539,-2.207274913,-2.038299598,2.07005797,1.507113134,4.419005544,4.607275768,52.25423041,1.200021767,1.313377325,1.184090909,0.530062028,1.087024475,0.223962109,0.182339696,0.27260193,0.168975315,-0.634761245,0.083444124
95RN,24,37.96,1.581666667,11.2,24.68,206,329,2.42697,59.32,0.02621,6.70719,12.92607,2.3307,58.65,0.06202,4.64649,8.71672,5.327876169,5.796057751,0.886643566,0.846168652,4.082946517,4.071587575,-3.641614262,-2.780298365,2.589824318,2.15557185,3.595284412,2.952409186,25.16411379,0.960333255,0.988705327,2.366272415,0.692762543,0.674351911,0.203328678,-0.040474914,-0.011358942,0.861315896,-0.367067989,-0.394003181
96NN,25,57.6,2.304,23.85,30.83,267,349,11.53183,223.03,0.13694,19.53634,79.02435,12.50163,138.88,0.07292,18.37077,52.09386,5.587248658,5.855071922,2.445111038,2.525859036,5.407306292,4.933610251,-1.988212405,-2.618392329,4.419993213,4.286113624,8.889564106,7.217607637,11.10895139,1.084097667,0.622696498,0.532495984,0.940338364,0.659212762,0.116314166,0.080747998,-0.473696041,-0.630179923,-0.061515507,-0.416708941
96RN,22,39.68,1.803636364,12.93,24.69,301,361,3.21947,81.22,0.132,10.98292,33.88137,5.03796,66.21,0.10263,13.91898,29.35999,5.707110265,5.888877958,1.16921675,1.617001238,4.397161522,4.192831509,-2.024953356,-2.276624991,3.314048883,3.730814924,5.820770568,5.418485951,13.14222423,1.564841418,0.815193302,0.7775,1.267329635,0.866552622,0.078940706,0.447784489,-0.204330013,-0.251671635,0.236912037,-0.143232442
97NN,28,48.4,1.728571429,14.44,31.93,358,186,2.32956,53.69,0.14617,14.5256,14.84796,1.48199,110.93,0.04639,8.74525,4.20127,5.880532986,5.225746674,0.845679409,0.393385779,3.983226764,4.708899372,-1.922984951,-3.07067136,3.811246515,2.957236886,3.853305075,2.049699978,74.85205703,0.636167345,2.06612032,0.317370185,0.602057746,0.282952675,-0.284370082,-0.452293629,0.725672607,-1.14768641,-0.507401915,-1.262475621
97RN,24,47.14,1.964166667,14.96,29.03,256,257,5.37834,93.32,0.18429,14.49679,28.32718,2.13096,92.83,0.22624,10.27425,12.57106,5.545177444,5.549076085,1.682379776,0.756572582,4.536034447,4.530769863,-1.691244675,-1.486158896,3.807465036,3.205347095,5.322328438,3.545569066,43.56252581,0.39621147,0.99474925,1.227630365,0.708725863,0.443780849,0.001693158,-0.925807195,-0.005264584,0.205085779,-0.34428648,-0.812424422
98RN,27,35.9,1.32962963,4.35,28.78,235,234,0.81952,26.47,0.13794,0.31513,10.07471,0.99793,45.13,0.15411,0.51009,8.52998,5.459585514,5.455321115,-0.199036476,-0.002072145,3.276012016,3.809547214,-1.980936471,-1.870088646,0.561364409,0.714205853,3.174068367,2.920612949,45.22361288,1.217700605,1.704948999,1.11722488,1.618665313,0.84667251,-0.001852005,0.19696433,0.533535198,0.110847825,0.481601929,-0.166441306
A99NN,29,49.47,1.705862069,12.8,33.39,183,219,5.31624,78.62,0.1943,12.58609,8.44019,2.81997,65.54,0.24719,9.81235,10.27863,5.209486153,5.38907173,1.670766287,1.036726247,4.36462612,4.182660643,-1.638351923,-1.397598007,3.54768798,3.132467079,2.905200509,3.206030256,23.241382,0.530444449,0.83363012,1.272207926,0.779618611,1.217819741,0.077993025,-0.634040041,-0.181965476,0.240753915,-0.248950439,0.197062162
99BRN,26,48.83,1.878076923,17.31,29.13,179,211,7.19307,64.87,0.08258,7.25371,22.77683,6.06086,208.03,0.14236,11.4581,12.61775,5.187385806,5.351858133,1.973118063,1.801851704,4.172385267,5.3376823,-2.493987759,-1.949396218,2.693271245,3.384981536,4.772507727,3.552147238,34.32351184,0.842597111,3.206875289,1.723904093,1.579619257,0.553973051,0.071429424,-0.171266358,1.165297033,0.54459154,0.457183841,-0.590639238
100NN,24,51.4,2.141666667,17.12,31.68,320,285,2.66543,30.03,0.06788,2.20948,26.53857,2.20441,183.89,0.05233,8.35954,17.65426,5.768320996,5.65248918,0.980365395,0.790459899,3.402196882,5.214337753,-2.690013839,-2.950185459,1.48643197,2.891286911,5.151559958,4.201697276,83.41914617,0.827037289,6.123543124,0.770919269,3.783487517,0.665230267,-0.050305118,-0.189905495,1.812140871,-0.26017162,1.330646208,-0.407622032
100RN,30,54,1.8,19.35,31.66,302,243,8.13774,163.79,0.14332,17.93368,39.64078,3.69232,209.03,0.14742,13.73604,17.44433,5.710427017,5.493061443,2.0965125,1.306254987,5.098585119,5.342477782,-1.942675387,-1.914469623,4.234817588,3.7062164,6.296092439,4.176640995,56.61210296,0.453727939,1.276207339,1.028607312,0.76593538,0.440060211,-0.094400669,-0.790257514,0.243892663,0.028205763,-0.266657473,-0.820843718
101NN,28,47.6,1.7,17.33,27.01,159,200,2.14289,131.79,0.1356,15.44553,21.26149,1.5085,59.8,0.11,8.98905,11.44219,5.068904202,5.298317367,0.762155385,0.41111578,4.881209747,4.091005661,-1.998045903,-2.207274913,3.930080152,2.998174445,4.611018326,3.382630633,39.64202851,0.703955873,0.453752182,0.81120944,0.581983914,0.538165011,0.099632871,-0.351039605,-0.790204085,-0.209229009,-0.541312471,-0.619590054
101RN,25,53.9,2.156,21.1,28.93,249,259,12.05717,191.69,0.14881,12.27448,50.88479,10.45614,131.99,0.11125,13.62427,47.35448,5.517452896,5.556828062,2.489659504,2.347189366,5.255879484,4.882726162,-1.905084955,-2.195975358,3.503495397,3.69110688,7.133357554,6.881459148,12.62320512,0.867213451,0.688559654,0.747597608,1.109967184,0.930621508,0.017100417,-0.142470138,-0.373153321,-0.290890403,0.104330451,-0.071902628
102RN,29,54.18,1.868275862,16.09,35.21,221,423,3.94848,4.8,0.09989,11.64967,15.93456,3.83482,196.39,0.13165,13.36556,16.14175,5.398162702,6.047372179,1.373330695,1.344122498,1.568615918,5.280102478,-2.303685698,-2.027608393,3.413161291,3.655893872,3.991811619,4.017679679,51.21231244,0.971214239,40.91458333,1.317949745,1.147290867,1.013002555,0.281948094,-0.029208198,3.71148656,0.276077306,0.137403395,0.012918747
103NN,30,54.5,1.816666667,16.02,34.96,300,355,6.06847,89.83,0.18923,15.80268,26.53857,12.59085,94.29,0.22311,14.24296,26.36439,5.703782475,5.872117789,1.803106514,2.53297036,4.497918995,4.546375139,-1.664792073,-1.500090356,3.975258482,3.773984632,5.151559958,5.134626569,7.488771608,2.074798096,1.049649338,1.179041378,0.901300286,0.993436722,0.073107098,0.729863846,0.048456145,0.164701717,-0.103916796,-0.006584911
